id:ID(LINK),type,e_type,ts,from:START_ID,to:END_ID,from_type,to_type
eveent0b76a884239111eb94400242ac110010,包含,0,0,0afab544239111eb94400242ac110010,Q515388,event,entity
eveent0b76aca8239111eb94400242ac110010,包含,0,0,0afab6d4239111eb94400242ac110010,Q515388,event,entity
m4lnpf43458dae11f111ebabda0242ac110010,包含,0,0,424fd8b411f111ebabda0242ac110010,Q16336476,document,entity
tzacgy0b1876ec239111eb94400242ac110010,包含,0,0,a096cb920239111eb94400242ac110010,Q16336653,document,entity
ixydvn4340370011f111ebabda0242ac110010,包含,0,0,422f31e011f111ebabda0242ac110010,Q1331055,document,entity
mldu5i435afad611f111ebabda0242ac110010,包含,0,0,42d6f2c211f111ebabda0242ac110010,Q7630360,document,entity
lt9u2f0b2f077c239111eb94400242ac110010,包含,0,0,0a01e018239111eb94400242ac110010,Q1062070,document,entity
kurh8m0b4e35ca239111eb94400242ac110010,包含,0,0,0ada33aa239111eb94400242ac110010,Q29934840,document,entity
ju6a1n0b50419e239111eb94400242ac110010,包含,0,0,0ae722fe239111eb94400242ac110010,Q29934840,document,entity
ugdbou0b50c3a8239111eb94400242ac110010,包含,0,0,0aeab1ee239111eb94400242ac110010,Q29934840,document,entity
l76stb0b5212bc239111eb94400242ac110010,包含,0,0,0af402bc239111eb94400242ac110010,Q29934840,document,entity
s4ughp0b53014a239111eb94400242ac110010,包含,0,0,0afb8898239111eb94400242ac110010,Q29934840,document,entity
nzysdw0b53ef92239111eb94400242ac110010,包含,0,0,0b010638239111eb94400242ac110010,Q29934840,document,entity
oga8ft0b54077a239111eb94400242ac110010,包含,0,0,0b0176c2239111eb94400242ac110010,Q29934840,document,entity
cysbzj0b557358239111eb94400242ac110010,包含,0,0,0b0a2326239111eb94400242ac110010,Q29934840,document,entity
eveent0b74b34e239111eb94400242ac110010,包含,0,0,0adb592e239111eb94400242ac110010,Q29934840,event,entity
eveent0b74b696239111eb94400242ac110010,包含,0,0,0adb5d8e239111eb94400242ac110010,Q29934840,event,entity
eveent0b74d8ba239111eb94400242ac110010,包含,0,0,0adb6e96239111eb94400242ac110010,Q29934840,event,entity
eveent0b74dc0c239111eb94400242ac110010,包含,0,0,0adb7076239111eb94400242ac110010,Q29934840,event,entity
eveent0b74e062239111eb94400242ac110010,包含,0,0,0adb7238239111eb94400242ac110010,Q29934840,event,entity
eveent0b75908e239111eb94400242ac110010,包含,0,0,0ae8129a239111eb94400242ac110010,Q29934840,event,entity
eveent0b75aca4239111eb94400242ac110010,包含,0,0,0ae8230c239111eb94400242ac110010,Q29934840,event,entity
eveent0b75b2c6239111eb94400242ac110010,包含,0,0,0ae825c8239111eb94400242ac110010,Q29934840,event,entity
eveent0b75b80c239111eb94400242ac110010,包含,0,0,0ae8285c239111eb94400242ac110010,Q29934840,event,entity
eveent0b75bcbc239111eb94400242ac110010,包含,0,0,0ae82a5a239111eb94400242ac110010,Q29934840,event,entity
eveent0b75c50e239111eb94400242ac110010,包含,0,0,0ae82c1c239111eb94400242ac110010,Q29934840,event,entity
eveent0b75caea239111eb94400242ac110010,包含,0,0,0ae82e74239111eb94400242ac110010,Q29934840,event,entity
eveent0b75ce96239111eb94400242ac110010,包含,0,0,0ae830e0239111eb94400242ac110010,Q29934840,event,entity
eveent0b75dd14239111eb94400242ac110010,包含,0,0,0ae837f2239111eb94400242ac110010,Q29934840,event,entity
eveent0b75eb2e239111eb94400242ac110010,包含,0,0,0aeb6454239111eb94400242ac110010,Q29934840,event,entity
